P2_13	Bando periodico indicativo utilizzato come avviso di indizione di gara — settori speciali, regime alleggerito. Articolo 50 comma 5 decreto legislativo 36/2023; Libro III decreto legislativo 36/2023.
P2_14	Avviso di preinformazione utilizzato come avviso di indizione di gara — concessioni, regime alleggerito. Articolo 187 decreto legislativo 36/2023.
P2_16	Bando di gara — settori ordinari. Articolo 50 decreto legislativo 36/2023.
P2_17	Bando di gara — settori speciali. Articolo 50 decreto legislativo 36/2023; Articolo 50 comma 5 decreto legislativo 36/2023.
P2_18	Bando di gara — settore della difesa. Articolo 31 decreto legislativo 208/2011; Articolo 50 comma 1 lettera d) decreto legislativo 36/2023.
P2_19	Bando di concessione - concessioni. Articolo 187 decreto legislativo 36/2023.
P2_20	Bando di gara — settori ordinari, regime alleggerito. Articolo 50 decreto legislativo 36/2023; Articolo 127 decreto legislativo 36/2023; Articolo 128 comma 8 decreto legislativo 36/2023.
P2_21	Avviso di gara - settori speciali, regime alleggerito. Articolo 50 comma 5 decreto legislativo 36/2023; Libro III decreto legislativo 36/2023.
P2_23	Avviso o bando di concorso di progettazione - settori ordinari. Articolo 46 decreto legislativo 36/2023.
P2_24	Avviso di concorso di progettazione - settori speciali. Articolo 46 decreto legislativo 36/2023.
P3_1	Appalti e concorsi di progettazione esclusi. Delibera ANAC n. 584 del 19 dicembre 2023 (solo per i contratti esclusi soggetti a contributo ANAC).
P3_2	Concessioni escluse. Delibera ANAC n. 584 del 19 dicembre 2023 (solo per i contratti esclusi soggetti a contributo ANAC).
P3_3	Contratti esclusi - Acquisizione del CIG figlio per adesione AQ/convenzione con successivo confronto competitivo (solo per procedure il cui bando è stato pubblicato entro il 31/12/2023). Delibera ANAC n. 584 del 19 dicembre 2023
P3_4	Affidamento a contraente generale. Artt. 204 decreto legislativo 36/2023; Articolo 205 comma 6 e comma 7 decreto legislativo 36/2023.
P3_5	Scelta del socio privato nella società mista.
P4_1	PPP - Finanza di progetto. Articolo 31, paragrafo 1, della direttiva 2014/23/UE; Articolo 174 comma 3 decreto legislativo 36/2023; Articolo 182 comma 11 primo periodo e comma 12 decreto legislativo 36/2023.
P4_2	PPP - Locazione finanziaria. Articolo 31, paragrafo 1, della direttiva 2014/23/UE; Articolo 174 comma 3 decreto legislativo 36/2023; Articolo 182 comma 11 primo periodo e comma 12 decreto legislativo 36/2023.
P4_3	PPP - Contratto di disponibilità. Articolo 31, paragrafo 1, della direttiva 2014/23/UE; Articolo 174 comma 3 decreto legislativo 36/2023; Articolo 182 comma 11 primo periodo e comma 12 decreto legislativo 36/2023.
